"F2"	"Q2"	"x"	"F2err"
0.288	0.5	8e-04	0.008784
0.183	0.5	0.0032	0.023973
0.472	0.65	1.58e-05	0.0299744
0.52	0.65	1.64e-05	0.0423488
0.476	0.65	3.98e-05	0.01862
0.42	0.65	5.98e-05	0.021462
0.411	0.65	1e-04	0.014022
0.362	0.65	0.000251	0.0114754
0.333	0.65	0.000478	0.0114552
0.319	0.65	8e-04	0.0097614
0.225	0.65	0.0032	0.0152325
0.617	0.85	2e-05	0.0268492
0.625	0.85	2e-05	0.0365348
0.564	0.85	3.98e-05	0.0186813
0.546	0.85	5e-05	0.0320416
0.503	0.85	1e-04	0.0310738
0.399	0.85	0.000251	0.0284968
0.351	0.85	8e-04	0.0194103
0.309	0.85	0.0032	0.0167787
0.699	1.2	2e-05	0.0261579
0.68	1.2	3.2e-05	0.0281474
0.698	1.2	3.2e-05	0.0240112
0.653	1.2	6.31e-05	0.0166005
0.6	1.2	8e-05	0.0186576
0.545	1.2	0.00013	0.0313375
0.534	1.2	0.000158	0.014151
0.495	1.2	0.000398	0.021087
0.374	1.2	0.0013	0.017391
0.299	1.2	0.005	0.0163254
0.847	1.5	3.2e-05	0.054186
0.774	1.5	3.2e-05	0.022801
0.77	1.5	5e-05	0.0202958
0.705	1.5	8e-05	0.020358
0.649	1.5	0.00013	0.021417
0.616	1.5	2e-04	0.0240856
0.58	1.5	0.00032	0.019372
0.55	1.5	5e-04	0.042405
0.493	1.5	8e-04	0.0181917
0.465	1.5	0.001	0.030597
0.412	1.5	0.0032	0.014214
0.863	2	5e-05	0.0251687
0.83	2	5e-05	0.0220275
0.765	2	8e-05	0.0150508
0.727	2	0.00013	0.0147581
0.684	2	2e-04	0.0145008
0.631	2	0.00032	0.0147654
0.578	2	5e-04	0.0157794
0.512	2	0.001	0.011776
0.428	2	0.0032	0.0118128
0.913	2.7	5e-05	0.029949
0.901	2.7	5e-05	0.0216972
0.899	2.7	8e-05	0.0358584
0.892	2.7	8e-05	0.0138216
0.806	2.7	0.00013	0.0109344
0.78	2.7	2e-04	0.015678
0.702	2.7	0.00032	0.0127764
0.647	2.7	5e-04	0.0119048
0.596	2.7	8e-04	0.0132312
0.57	2.7	0.0013	0.011514
0.484	2.7	0.002	0.014762
0.46	2.7	0.005	0.01196
0.997	3.5	8e-05	0.0253561
0.972	3.5	8e-05	0.0217512
0.928	3.5	0.00013	0.0122626
0.86	3.5	2e-04	0.0113256
0.796	3.5	0.00032	0.011448
0.754	3.5	5e-04	0.012441
0.663	3.5	8e-04	0.0106743
0.627	3.5	0.0013	0.0117876
0.571	3.5	0.002	0.007423
0.463	3.5	0.008	0.0077784
1.029	4.5	0.00013	0.022939
1.045	4.5	0.00013	0.0190735
0.972	4.5	2e-04	0.0137314
0.899	4.5	0.00032	0.0129312
0.801	4.5	5e-04	0.01216
0.724	4.5	8e-04	0.0125252
0.669	4.5	0.0013	0.012042
0.618	4.5	0.002	0.0113094
0.575	4.5	0.0032	0.009775
1.227	6.5	0.00013	0.029854
1.167	6.5	0.00013	0.0326502
1.134	6.5	2e-04	0.0231426
1.147	6.5	2e-04	0.0168519
1.01	6.5	0.00032	0.0131786
0.939	6.5	5e-04	0.0149142
0.857	6.5	8e-04	0.0125979
0.761	6.5	0.0013	0.0117194
0.699	6.5	0.002	0.0096462
0.644	6.5	0.0032	0.0104972
0.581	6.5	0.005	0.0091798
1.258	8.5	2e-04	0.0238095
1.213	8.5	2e-04	0.0331018
1.126	8.5	0.00032	0.0157215
1.026	8.5	5e-04	0.0147168
0.937	8.5	8e-04	0.013104
0.845	8.5	0.0013	0.012238
0.773	8.5	0.002	0.0141459
0.664	8.5	0.0032	0.0126824
0.635	8.5	0.005	0.0109855
1.306	10	2e-04	0.0409344
1.169	10	0.00032	0.0277873
1.074	10	5e-04	0.0243732
0.985	10	8e-04	0.0233954
0.899	10	0.0013	0.0234378
0.809	10	0.002	0.0230565
0.633	10	0.005	0.0105078
1.414	12	2e-04	0.0501948
1.262	12	0.00032	0.0253998
1.262	12	0.00032	0.017262
1.163	12	5e-04	0.0129136
1.059	12	8e-04	0.0118272
0.942	12	0.0013	0.014115
0.857	12	0.002	0.013268
0.758	12	0.0032	0.0146858
0.682	12	0.005	0.0118668
1.355	15	0.00032	0.02899
1.38	15	0.00032	0.029128
1.235	15	5e-04	0.013387
1.121	15	8e-04	0.011819
0.99	15	0.0013	0.0110656
0.876	15	0.002	0.0102375
0.789	15	0.0032	0.0097047
0.718	15	0.005	0.0081852
0.636	15	0.008	0.0073776
1.305	18	5e-04	0.0246268
1.306	18	5e-04	0.0181334
1.177	18	8e-04	0.0121472
1.054	18	0.0013	0.0111512
0.951	18	0.002	0.010355
0.837	18	0.0032	0.0093632
0.75	18	0.005	0.00825
0.668	18	0.008	0.0074816
1.392	22	5e-04	0.0475068
1.284	22	8e-04	0.0312174
1.075	22	0.0013	0.0300951
1.021	22	0.002	0.0307738
0.906	22	0.0032	0.0263646
0.774	22	0.005	0.0206658
0.66	22	0.008	0.018414
1.508	27	5e-04	0.0323304
1.51	27	5e-04	0.027122
1.322	27	8e-04	0.036288
1.324	27	8e-04	0.0146674
1.172	27	0.0013	0.0125712
1.056	27	0.002	0.0114886
0.921	27	0.0032	0.010396
0.806	27	0.005	0.0091884
0.712	27	0.008	0.0082592
1.46	35	8e-04	0.0260295
1.447	35	8e-04	0.020088
1.248	35	0.0013	0.0128336
1.113	35	0.002	0.0118556
0.978	35	0.0032	0.010736
0.858	35	0.005	0.0095127
0.751	35	0.008	0.0085614
1.571	45	8e-04	0.0280388
1.344	45	0.0013	0.0196233
1.343	45	0.0013	0.0178976
1.172	45	0.002	0.0126767
1.019	45	0.0032	0.0110853
0.904	45	0.005	0.0098427
0.786	45	0.008	0.008635
1.465	60	0.0013	0.0265923
1.451	60	0.0013	0.024395
1.273	60	0.002	0.014056
1.093	60	0.0032	0.0118592
0.948	60	0.005	0.0105117
0.824	60	0.008	0.0098056
1.541	70	0.0013	0.0342908
1.3	70	0.002	0.0252252
1.11	70	0.0032	0.0208467
1.001	70	0.005	0.0176823
0.825	70	0.008	0.0151616
1.308	90	0.002	0.030264
1.371	90	0.002	0.0235138
1.189	90	0.0032	0.0148176
1.039	90	0.005	0.012627
0.892	90	0.008	0.0113157
1.412	120	0.002	0.0372892
1.213	120	0.0032	0.0276338
1.239	120	0.0032	0.0298152
1.053	120	0.005	0.0161084
0.912	120	0.008	0.012922
1.25	150	0.0032	0.0293776
1.247	150	0.0032	0.0319466
1.071	150	0.005	0.0166106
0.919	150	0.008	0.0165615
1.1	200	0.005	0.025239
1.129	200	0.005	0.0183098
0.94	200	0.008	0.0124222
1.123	250	0.005	0.0338806
1.148	250	0.005	0.030856
0.964	250	0.008	0.0141044
1.197	300	0.005	0.0423748
1	300	0.008	0.0271032
0.989	300	0.008	0.0192258
0.996	400	0.008	0.0316169
1.06	400	0.008	0.0230175
